,Name,Address,Rate,Review,Phone,Super Type,Marketing Area,Grade,Subtype,TypeID
32,کترینگ نون و نمک,اهواز،کیان آباد،خ. هجده متری چهارم،خ. وهابی، بین ۷ و ۸ کیان آباد,5.0,3,061 3338 4006,تهیه غذا,1-Kianpars,A,نامشخص,تهیه غذا_نامشخص
33,کترینگ روز,اهواز،رسالت،خ رسالت یکم بین احسان و بلوار دماوند,0.0,0,061 3227 5641,تهیه غذا,8-Bahonar,Unrated,نامشخص,تهیه غذا_نامشخص
34,کترینگ هایسال,اهواز،دانشگاه چمران،بلوار گلستان بین آذر و دی,0.0,0,0904 424 9973,تهیه غذا,3-Golestan_Uni,Unrated,نامشخص,تهیه غذا_نامشخص
35,سالن غذاخوری شهرک نفت,اهواز،شهرک نفت،خ مهر فرعی،مجتمع فرهنگی ورزشی امام رضا,1.0,1,061 3416 3150,رستوران,11-Naft,C,غذاخوری,رستوران_غذاخوری
36,رستوران سنتی مهربان و مهر بانو,اهواز،گلستان،بلوار کارگر شرقی،خ اقبال،خ تاراز,0.0,0,0916 919 2367,رستوران,3-Golestan_Uni,Unrated,سنتی,رستوران_سنتی
37,سالن پذیرایی بین الملل,اهواز،اسلام آباد شرقی،کنارگذر بهبهانی,5.0,1,Unknown,تالار پذیرایی,4-Padad,A,نامشخص,تالار پذیرایی_نامشخص
38,کترینگ و آشپزخانه لمزی اهواز,اهواز،سعدی،بلوار گلستان,3.0,2,0916 309 7289,تهیه غذا,3-Golestan_Uni,C,نامشخص,تهیه غذا_نامشخص
39,رستوران و کترینگ کوچه باغ,اهواز،کیانپارس،خ کیانپارس بین مطهری شرقی و سروش شرقی,3.0,1,061 3392 4616,رستوران,1-Kianpars,C,تهیه غذا,رستوران_تهیه غذا
40,کترینگ سور,اهواز،گلستان،بلوار کارگر شرقی،خ دی,0.0,0,061 3321 3109,تهیه غذا,3-Golestan_Uni,Unrated,نامشخص,تهیه غذا_نامشخص
41,"تهیه غذای شهر , غذای بیرون بر شهر , کترینگ شهر",اهواز،کیان آباد،خ اروند،خ هجده متری پنجم,0.0,0,061 3337 5444,کافه,1-Kianpars,Unrated,تهیه غذا,کافه_تهیه غذا
42,کترینگ دورچین,اهواز،زیتون کارمندی، خیابان زیتون کارمندی، بین فیاض و بوعلی,0.0,0,061 3445 6461,کافه,2-Zeytoon Karmandi,Unrated,تهیه غذا,کافه_تهیه غذا
43,رستوران سنتی دیلمی,اهواز،منبع آب،خ بیست متری شهرداری،خ یازدهم,4.5,2,Unknown,رستوران,13-Hasirabad,B,سنتی,رستوران_سنتی
45,رستوران ایرانی فرهنگیان,اهواز،کوی فرهنگیان 1،کوی فرهنگیان،خ گلایل،خ ناز,0.0,0,0905 500 1220,رستوران,14-Airport,Unrated,ایرانی,رستوران_ایرانی
46,کترینگ نارنج,اهواز،کیان آباد،خ اروند،خ بیست و یکم غربی,0.0,0,061 3338 8694,تهیه غذا,1-Kianpars,Unrated,نامشخص,تهیه غذا_نامشخص
47,کترینگ محی,اهواز،کوی ملت،بلوار پاسداران،خ. اقبال,4.0,1,061 3447 9005,تهیه غذا,7-Kourosh,B,نامشخص,تهیه غذا_نامشخص
48,رستوران سنتی زیتون,اهواز،زیتون کارمندی،کنارگذر پاسداران،خ زمرد،خ فاطمی,0.0,0,Unknown,رستوران,2-Zeytoon Karmandi,Unrated,سنتی,رستوران_سنتی
